1442,ekstrabladet.dk
1497,bt.dk
3294,google.dk
4987,dr.dk
5949,tv2.dk
7050,webhosting.dk
7885,ku.dk
8990,dandomain.dk
9772,lectio.dk
11256,au.dk
11598,telenor.dk
12552,dba.dk
13014,dtu.dk
15409,bloggersdelight.dk
16550,berlingske.dk
18637,aau.dk
18743,scannet2.dk
19913,sdu.dk
20255,zalando.dk
26433,politiken.dk
28250,boyfriend.dk
28758,jyllands-posten.dk
29566,um.dk
29659,bilbasen.dk
30406,gigahost.dk
32438,dk-hostmaster.dk
32520,borsen.dk
32724,nic.dk
33889,wannafind.dk
34947,dlx.dk
34970,danskespil.dk
35346,dmi.dk
35378,bold.dk
35649,blogspot.dk
36866,skat.dk
39031,pricerunner.dk
39582,tele.dk
43045,flashscore.dk
43924,mitid.dk
44118,matas.dk
46424,euroinvestor.dk
47280,cbs.dk
48574,dsb.dk
49374,fibianet.dk
50424,borger.dk
50745,3.dk
50921,quickdns.dk
52617,nordjyske.dk
52629,e-pages.dk
53313,boligsiden.dk
53644,yousee.dk
53657,krak.dk
53673,kk.dk
53744,proshop.dk
53842,datatilsynet.dk
54229,jobindex.dk
54231,danskebank.dk
54329,sundhed.dk
54636,rm.dk
55155,elgiganten.dk
56547,ipapercms.dk
56673,magasin.dk
56760,jv.dk
57345,e-boks.dk
57729,ticketmaster.dk
57940,billedbladet.dk
58049,seoghoer.dk
58114,nordea.dk
58616,kb.dk
60700,information.dk
61077,boligportal.dk
61350,ioi.dk
64640,tipsbladet.dk
64892,imerco.dk
64940,bauhaus.dk
66355,valdemarsro.dk
66502,just-eat.dk
67315,power.dk
67509,vinted.dk
68102,bilka.dk
68262,nordnet.dk
68361,bet365.dk
68489,thelocal.dk
68963,ordnet.dk
69191,cphpost.dk
69335,tv2nord.dk
69821,avisen.dk
70061,hiper.dk
71222,tvmidtvest.dk
71333,ruc.dk
71807,tv2east.dk
71814,tv2ostjylland.dk
72283,jemogfix.dk
72365,kmd.dk
